"filename", "language", "XML", "YAML", "JSON with Comments", "JSON", "Markdown", "TypeScript", "Properties", "Dart", "HTML", "JavaScript JSX", "comment", "blank", "total"
"/Users/kafilcodes/Developer/App/nirmadapp/README.md", "Markdown", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 21, 80
"/Users/kafilcodes/Developer/App/nirmadapp/analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/google-services.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/debug/AndroidManifest.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/AndroidManifest.xml", "XML", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 59
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/res/drawable-night-v21/launch_background.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/res/drawable-night/launch_background.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/res/drawable/launch_background.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/res/values-night-v31/styles.xml", "XML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 23
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/res/values-night/styles.xml", "XML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/res/values-v31/styles.xml", "XML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 23
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/res/values/colors.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/main/res/values/styles.xml", "XML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"/Users/kafilcodes/Developer/App/nirmadapp/android/app/src/profile/AndroidManifest.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/kafilcodes/Developer/App/nirmadapp/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/kafilcodes/Developer/App/nirmadapp/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/kafilcodes/Developer/App/nirmadapp/assets/404.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kafilcodes/Developer/App/nirmadapp/assets/bug_encountered.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kafilcodes/Developer/App/nirmadapp/assets/buildling.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kafilcodes/Developer/App/nirmadapp/assets/empty_dashboard.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kafilcodes/Developer/App/nirmadapp/assets/error.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kafilcodes/Developer/App/nirmadapp/assets/list_of_projects.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kafilcodes/Developer/App/nirmadapp/assets/login_page_graphics.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kafilcodes/Developer/App/nirmadapp/assets/login_page_graphics_2.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kafilcodes/Developer/App/nirmadapp/assets/no projects.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kafilcodes/Developer/App/nirmadapp/assets/no_projects.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
